station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30059,Rio Bamba BioagroindustriaCba,45.8,24,23.83,144,0.318,4.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30073,Bruzone BioagroindustriaCba,40.4,24,23.83,143,0.283,10.8,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30541,La Cesira BioagroindustriaCba,37.8,24,23.83,143,0.264,4.6,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30058,General Levalle BioagroindustriaCba,37.4,24,23.83,143,0.262,2.4,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30279,Coronel Moldes BioagroindustriaCba,28.6,24,23.83,139,0.206,5.0,2025-10-16 12:40:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30415,Villa Rossi BioagroindustriaCba,22.6,24,23.83,143,0.158,3.0,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30108,Huanchilla BioagroindustriaCba,20.6,24,23.83,143,0.144,4.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30102,Melo BioagroindustriaCba,19.4,24,23.83,143,0.136,2.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30465,APRHi - Río de la Cruz- Paso Cabral,19.4,24,23.83,144,0.135,11.8,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30280,Viamonte BioagroindustriaCba,18.8,24,23.83,142,0.132,3.8,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30434,APRHi - Presa Chañar,15.0,24,23.83,143,0.105,4.0,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30274,Serrano BioagroindustriaCba,15.0,24,23.83,143,0.105,2.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30278,Chilibroste BioagroindustriaCba,14.0,24,23.83,141,0.099,2.6,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30111,UNVM BioagroindustriaCba,13.6,24,23.83,143,0.095,3.8,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30259,San Antonio de Litin BioagroindustriaCba,13.6,24,23.83,143,0.095,3.0,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30233,APRHi - Cañada del Sauce,13.0,24,23.83,142,0.092,5.0,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30430,APRHi - Cuenca Letanias -Los Vallecitos,12.8,24,23.83,143,0.09,3.8,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30065,Villa Valeria BioagroindustriaCba,11.2,24,23.83,144,0.078,1.8,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30350,APRHi - Arroyo Algodón,10.4,24,23.83,143,0.073,3.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30352,APRHi - Los Zorros,9.6,24,23.83,144,0.067,4.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30235,APRHi - Río de Los Sauces (Sur Pueblo),9.4,24,23.83,142,0.066,4.2,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30295,Chaján BioagroindustriaCba,9.2,24,23.83,144,0.064,4.0,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30055,Pampayasta Norte BioagroindustriaCba,9.2,24,23.83,143,0.064,4.4,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30500,APRHI - Elena,8.6,24,23.83,144,0.06,2.8,2025-10-16 12:30:00-03:00,2025-10-17 12:20:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30289,Las Isletillas BioagroindustriaCba,8.6,24,23.83,141,0.061,1.6,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30497,APRHI - Piedra Blanca,8.4,24,23.83,143,0.059,4.2,2025-10-16 12:30:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
30159,Buchardo BioagroindustriaCba,8.0,24,23.83,139,0.058,1.4,2025-10-16 12:40:00-03:00,2025-10-17 12:10:00-03:00,2025-10-16 12:30:00,2025-10-17 12:20:00
