station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30566,Ema Móvil - OHMC 30566,91.2,24,23.83,143,0.638,26.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30295,Chaján BioagroindustriaCba,67.4,24,23.83,142,0.475,3.4,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30248,APRHi - Alta Gracia,59.4,24,23.83,143,0.415,5.4,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),58.4,24,23.83,102,0.573,1.0,2025-11-06 20:20:56-03:00,2025-11-07 08:24:01-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30433,APRHi - Cuenca Durazno,58.2,24,23.83,143,0.407,2.6,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30440,APRHi - Cuenca Alta Tabaquillo,58.0,24,23.83,144,0.403,3.0,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30434,APRHi - Presa Chañar,55.8,24,23.83,143,0.39,4.6,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
60001,APRHi - Cno Ascochinga-La Cumbre,53.0,24,23.83,121,0.438,1.25,2025-11-06 17:18:52-03:00,2025-11-07 13:15:09-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30234,APRHi - Río Santa Rosa (Cuenca Media),51.0,24,23.83,141,0.362,2.8,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30114,APRHi - Cap. del Carmen (Cuenca Alta R. Grande),51.0,24,23.83,144,0.354,4.8,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30403,Balnearia BioagroindustriaCba,47.33,24,23.83,143,0.331,18.0,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30492,APRHI - Achiras,46.0,24,23.83,143,0.322,1.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30540,Finca Benito BioagroindustriaCba,44.6,24,23.83,144,0.31,1.8,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30431,APRHi - Cuenca Lutti,44.6,24,23.83,143,0.312,2.6,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30293,Despeñaderos BioagroindustriaCba,44.4,24,23.83,143,0.31,3.6,2025-11-06 13:40:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30445,APRHi - Calmayo,43.0,24,23.83,144,0.299,2.0,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30131,Villa del Dique BioagroindustriaCba,42.4,24,23.83,143,0.297,1.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30485,APRHI - La Lagunilla - Cca. La Cañada,41.2,24,23.83,144,0.286,3.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30497,APRHI - Piedra Blanca,41.2,24,23.83,143,0.288,2.0,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30411,Camp.Exp Sampacho BioagroindustriaCba,38.4,24,23.83,143,0.269,2.4,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30109,Rio Cuarto BioagroindustriaCba,38.4,24,23.83,143,0.269,1.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30430,APRHi - Cuenca Letanias -Los Vallecitos,37.6,24,23.83,143,0.263,1.6,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30269,Bouwer BioagroindustriaCba,37.4,24,23.83,143,0.262,3.2,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30294,FCA - Capilla de los Remedios BioagroindustriaCba,35.6,24,23.83,143,0.249,3.4,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30537,Las Mulatas  BioagroindustriaCba,35.2,24,23.83,144,0.244,4.8,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30532,San Agustín BioagroindustriaCba,35.0,24,23.83,144,0.243,2.8,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30233,APRHi - Cañada del Sauce,34.8,24,23.83,143,0.243,2.0,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30435,APRHi - Cuenca Sta Rosa (Yaroma),34.6,24,23.83,144,0.24,2.2,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30555,Campo experimental UCC BioagroindustriaCba,34.2,24,23.83,143,0.239,3.0,2025-11-06 13:30:00-03:00,2025-11-07 13:20:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
30158,Toro Pujio BioagroindustriaCba,33.6,24,23.83,143,0.235,5.0,2025-11-06 13:30:00-03:00,2025-11-07 13:10:00-03:00,2025-11-06 13:30:00,2025-11-07 13:20:00
