station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30539,Inriville - Pred. Muni Río Carcarañá BioagroindustriaCba,75.6,24,23.83,143,0.529,14.0,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30070,Canals BioagroindustriaCba,71.0,24,23.83,143,0.497,6.4,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30449,APRHi - Colonia 25 (Norte Los Surgentes),63.2,24,23.83,143,0.442,13.2,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30164,Monte Buey BioagroindustriaCba,57.8,24,23.83,142,0.407,14.2,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30160,Marcos Juarez BioagroindustriaCba,56.25,24,23.83,143,0.393,15.5,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
60001,APRHi - Cno Ascochinga-La Cumbre,48.75,24,23.83,139,0.351,1.25,2025-10-04 12:21:13-03:00,2025-10-05 09:37:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),47.2,24,23.83,127,0.372,1.0,2025-10-04 14:23:04-03:00,2025-10-05 10:34:11-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30260,Cruz Alta BioagroindustriaCba,46.6,24,23.83,142,0.328,14.2,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30404,Las Calles BioagroindustriaCba,46.0,24,23.83,144,0.319,14.8,2025-10-04 11:40:00-03:00,2025-10-05 11:30:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30541,La Cesira BioagroindustriaCba,45.0,24,23.83,144,0.312,15.0,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30282,Justiniano Posse BioagroindustriaCba,44.8,24,23.83,144,0.311,9.2,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30397,Mina Clavero  BioagroindustriaCba,42.6,24,23.83,144,0.296,10.4,2025-10-04 11:40:00-03:00,2025-10-05 11:30:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30276,General Roca BioagroindustriaCba,41.0,24,23.83,143,0.287,20.4,2025-10-04 11:50:00-03:00,2025-10-05 11:30:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
30059,Rio Bamba BioagroindustriaCba,37.2,24,23.83,142,0.262,6.8,2025-10-04 11:40:00-03:00,2025-10-05 11:20:00-03:00,2025-10-04 11:40:00,2025-10-05 11:30:00
