station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30449,APRHi - Colonia 25 (Norte Los Surgentes),44.4,24,23.83,143,0.31,4.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30112,Brinkmann BioagroindustriaCba,38.36,24,23.83,143,0.268,13.44,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30265,San Pedro Norte BioagroindustriaCba,28.8,24,23.83,142,0.203,4.0,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30408,UTN San Francisco BioagroindustriaCba,28.6,24,23.83,144,0.199,11.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30268,Rayo Cortado BioagroindustriaCba,25.6,24,23.83,144,0.178,5.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30261,La Paquita BioagroindustriaCba,22.4,24,23.83,143,0.157,4.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30240,APRHi - Chancaní (Reserva),22.0,24,23.83,139,0.158,11.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30352,APRHi - Los Zorros,21.8,24,23.83,144,0.151,7.0,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30566,Ema Móvil - OHMC 30566,20.8,24,23.83,143,0.145,9.6,2025-11-11 09:40:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30272,Alicia BioagroindustriaCba,20.4,24,23.83,143,0.143,6.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30431,APRHi - Cuenca Lutti,19.2,24,23.83,144,0.133,1.6,2025-11-11 09:30:00-03:00,2025-11-12 05:30:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30396,La Francia BioagroindustriaCba,19.0,24,23.83,143,0.133,15.0,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30114,APRHi - Cap. del Carmen (Cuenca Alta R. Grande),18.6,24,23.83,143,0.13,3.4,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30305,El Fortín,17.2,24,23.83,139,0.124,5.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30440,APRHi - Cuenca Alta Tabaquillo,16.2,24,23.83,144,0.113,3.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30234,APRHi - Río Santa Rosa (Cuenca Media),15.6,24,23.83,142,0.11,4.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30433,APRHi - Cuenca Durazno,15.4,24,23.83,144,0.107,4.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30250,Copina,14.4,24,23.83,144,0.1,2.4,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30304,Las Varillas (Este-Cruze RP3 Y RP13),14.0,24,23.83,143,0.098,6.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30410,Freyre BioagroindustriaCba,13.8,24,23.83,144,0.096,2.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30413,Devoto BioagroindustriaCba,13.8,24,23.83,143,0.097,5.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30403,Balnearia BioagroindustriaCba,11.8,24,23.83,143,0.083,4.72,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30051,Munic. de La Para,11.6,24,23.83,143,0.081,3.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30014,Marull,11.4,24,23.83,143,0.08,6.0,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30069,Oliva BioagroindustriaCba,11.2,24,23.83,144,0.078,2.0,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30537,Las Mulatas  BioagroindustriaCba,10.6,24,23.83,143,0.074,2.0,2025-11-11 09:40:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30253,APRHi - Los Reartes,10.6,24,23.83,143,0.074,2.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30446,APRHi - Piedras Moras,10.4,24,23.83,143,0.073,2.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30136,APRHi - Salsacate,10.4,24,23.83,143,0.073,4.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30254,APRHi - Las Varillas (Oeste-Ruta cruce RP13 y PR3),10.4,24,23.83,143,0.073,5.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30498,APRHI- La Rinconada,10.2,24,23.83,143,0.071,1.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30540,Finca Benito BioagroindustriaCba,10.0,24,23.83,144,0.069,3.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30538,UPC HTA  BioagroindustriaCba,10.0,24,23.83,143,0.07,2.4,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30248,APRHi - Alta Gracia,9.6,24,23.83,141,0.068,2.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30275,Saturnino Laspiur BioagroindustriaCba,9.6,24,23.83,144,0.067,3.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30135,APRHi - San Miguel de los Ríos,9.6,24,23.83,142,0.068,5.0,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30297,Colonia Cocha BioagroindustriaCba,9.46,24,23.83,144,0.066,1.98,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30007,Monte Cristo,9.0,24,23.83,143,0.063,3.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30276,General Roca BioagroindustriaCba,9.0,24,23.83,142,0.063,5.2,2025-11-11 09:40:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30590,Epec Don Bosco,9.0,24,23.83,143,0.063,2.6,2025-11-11 09:40:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30079,IPEA 225 - Atahualpa Yupanqui - El Arañado,8.8,24,23.83,143,0.062,4.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30233,APRHi - Cañada del Sauce,8.8,24,23.83,142,0.062,2.6,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30551,Bodega Piedra Mora BioagroindustriaCba,8.6,24,23.83,143,0.06,4.0,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30286,Villa Ciudad Parque BioagroindustriaCba,8.6,24,23.83,143,0.06,1.4,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30435,APRHi - Cuenca Sta Rosa (Yaroma),8.4,24,23.83,144,0.058,2.6,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30056,Las Varas BioagroindustriaCba,8.4,24,23.83,143,0.059,6.0,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30129,El Fortin BioagroindustriaCba,8.4,24,23.83,143,0.059,1.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30249,APRHi - San Francisco del Chañar,8.2,24,23.83,140,0.059,2.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30139,EPEC - Azotea Ed. Central,8.0,24,23.83,143,0.056,4.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30061,La Cumbrecita BioagroindustriaCba,8.0,24,23.83,143,0.056,1.2,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30445,APRHi - Calmayo,8.0,24,23.83,143,0.056,0.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30273,Transito BioagroindustriaCba,8.0,24,23.83,143,0.056,1.4,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30397,Mina Clavero  BioagroindustriaCba,7.8,24,23.83,144,0.054,5.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30282,Justiniano Posse BioagroindustriaCba,7.6,24,23.83,142,0.054,2.6,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30134,Villa del Totoral BioagroindustriaCba,7.6,24,23.83,143,0.053,3.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30429,APRHi - Cuenca Candelaria,7.6,24,23.83,144,0.053,5.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30241,APRHi - Villa General Belgrano,7.6,24,23.83,141,0.054,1.6,2025-11-11 09:40:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30402,La Laguna BioagroindustriaCba,7.4,24,23.83,143,0.052,4.6,2025-11-11 09:40:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30259,San Antonio de Litin BioagroindustriaCba,7.2,24,23.83,143,0.05,5.4,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30242,APRHi - Campus UBP,7.2,24,23.83,143,0.05,2.2,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30243,APRHi - Río San Pedro (Ea. La Ernestina),7.0,24,23.83,141,0.05,1.2,2025-11-11 10:00:00-03:00,2025-11-12 09:00:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30349,APRHi -  Bell Ville (Aeródromo),6.8,24,23.83,144,0.047,2.6,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30398,Almafuerte BioagroindustriaCba,6.8,24,23.83,144,0.047,1.4,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30285,Colonia Vignaud BioagroindustriaCba,6.8,24,23.83,143,0.048,1.8,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30414,Ministerio - Bioagroindustria,6.6,24,23.83,143,0.046,3.4,2025-11-11 09:30:00-03:00,2025-11-12 09:10:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30067,Punta del Agua BioagroindustriaCba,6.6,24,23.83,143,0.046,1.0,2025-11-11 09:30:00-03:00,2025-11-12 08:50:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30532,San Agustín BioagroindustriaCba,6.4,24,23.83,143,0.045,1.4,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
30442,APRHI-Chúa,6.0,24,23.83,143,0.042,2.8,2025-11-11 09:30:00-03:00,2025-11-12 09:20:00-03:00,2025-11-11 09:30:00,2025-11-12 09:20:00
