station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30566,Ema Móvil - OHMC 30566,91.2,24,23.9,142,0.642,26.8,2025-11-06 15:10:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30295,Chaján BioagroindustriaCba,67.4,24,23.9,142,0.475,3.4,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),66.4,24,23.9,110,0.604,1.0,2025-11-06 20:20:56-03:00,2025-11-07 08:24:01-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
60001,APRHi - Cno Ascochinga-La Cumbre,61.0,24,23.9,129,0.473,1.25,2025-11-06 17:18:52-03:00,2025-11-07 13:15:09-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30248,APRHi - Alta Gracia,60.2,24,23.9,143,0.421,5.4,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30440,APRHi - Cuenca Alta Tabaquillo,58.6,24,23.9,143,0.41,3.0,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30433,APRHi - Cuenca Durazno,58.2,24,23.9,143,0.407,2.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30434,APRHi - Presa Chañar,56.0,24,23.9,143,0.392,4.6,2025-11-06 14:50:00-03:00,2025-11-07 14:10:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30234,APRHi - Río Santa Rosa (Cuenca Media),51.0,24,23.9,141,0.362,2.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30114,APRHi - Cap. del Carmen (Cuenca Alta R. Grande),51.0,24,23.9,144,0.354,4.8,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30403,Balnearia BioagroindustriaCba,49.69,24,23.9,143,0.347,18.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30492,APRHI - Achiras,46.0,24,23.9,143,0.322,1.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30293,Despeñaderos BioagroindustriaCba,44.8,24,23.9,144,0.311,3.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30540,Finca Benito BioagroindustriaCba,44.6,24,23.9,144,0.31,1.8,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30431,APRHi - Cuenca Lutti,44.6,24,23.9,144,0.31,2.6,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30445,APRHi - Calmayo,43.6,24,23.9,144,0.303,2.0,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30131,Villa del Dique BioagroindustriaCba,43.2,24,23.9,143,0.302,1.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30485,APRHI - La Lagunilla - Cca. La Cañada,42.2,24,23.9,144,0.293,3.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30497,APRHI - Piedra Blanca,41.2,24,23.9,143,0.288,2.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30269,Bouwer BioagroindustriaCba,40.6,24,23.9,143,0.284,3.2,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30294,FCA - Capilla de los Remedios BioagroindustriaCba,40.4,24,23.9,143,0.283,3.4,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30538,UPC HTA  BioagroindustriaCba,39.6,24,23.9,143,0.277,7.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30411,Camp.Exp Sampacho BioagroindustriaCba,38.6,24,23.9,144,0.268,2.4,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30109,Rio Cuarto BioagroindustriaCba,38.4,24,23.9,143,0.269,1.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30430,APRHi - Cuenca Letanias -Los Vallecitos,37.6,24,23.9,143,0.263,1.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30555,Campo experimental UCC BioagroindustriaCba,36.8,24,23.9,143,0.257,3.0,2025-11-06 15:00:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30591,EPEC Este,36.0,24,23.9,144,0.25,5.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30537,Las Mulatas  BioagroindustriaCba,35.2,24,23.9,143,0.246,4.8,2025-11-06 14:50:00-03:00,2025-11-07 14:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30532,San Agustín BioagroindustriaCba,35.2,24,23.9,144,0.244,2.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30559,IBAT San José - Villa del Rosario BioagroindustriaCba,35.2,24,23.9,143,0.246,2.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30158,Toro Pujio BioagroindustriaCba,35.0,24,23.9,143,0.245,5.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30233,APRHi - Cañada del Sauce,34.8,24,23.9,143,0.243,2.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30603,EPEC Malagueño,34.8,24,23.9,143,0.243,3.6,2025-11-06 15:00:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30435,APRHi - Cuenca Sta Rosa (Yaroma),34.6,24,23.9,144,0.24,2.2,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30057,Cno 60 Cuadras BioagroindustriaCba,34.4,24,23.9,143,0.241,3.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30400,Lozada BioagroindustriaCba,34.0,24,23.9,143,0.238,2.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30235,APRHi - Río de Los Sauces (Sur Pueblo),33.2,24,23.9,142,0.234,1.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30073,Bruzone BioagroindustriaCba,33.0,24,23.9,135,0.244,2.4,2025-11-06 16:10:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30404,Las Calles BioagroindustriaCba,32.8,24,23.9,142,0.231,2.0,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30590,Epec Don Bosco,32.8,24,23.9,144,0.228,3.8,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30500,APRHI - Elena,32.4,24,23.9,143,0.227,2.6,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30236,APRHi - Los Hornillos,32.4,24,23.9,143,0.227,3.4,2025-11-06 14:50:00-03:00,2025-11-07 14:30:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
30560,Villa El Chacay - Río La Tapa BioagroindustriaCba,32.0,24,23.9,130,0.246,1.2,2025-11-06 14:50:00-03:00,2025-11-07 00:40:00-03:00,2025-11-06 14:46:00,2025-11-07 14:40:00
