station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),63.4,24,23.83,118,0.537,1.0,2025-10-24 16:07:40-03:00,2025-10-25 06:09:48-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
60001,APRHi - Cno Ascochinga-La Cumbre,62.0,24,23.83,120,0.517,1.25,2025-10-24 15:46:15-03:00,2025-10-25 09:51:10-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30413,Devoto BioagroindustriaCba,53.0,24,23.83,140,0.379,6.6,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30408,UTN San Francisco BioagroindustriaCba,52.0,24,23.83,140,0.371,5.0,2025-10-24 11:50:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30294,FCA - Capilla de los Remedios BioagroindustriaCba,38.8,24,23.83,136,0.285,20.4,2025-10-24 11:50:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30309,Est. Don Luis (Norte de Alicia),35.4,24,23.83,139,0.255,15.4,2025-10-24 11:50:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30439,APRHI-EMA Ojo de Agua,35.2,24,23.83,140,0.251,12.6,2025-10-24 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30244,APRHi - Serrezuela,33.8,24,23.83,138,0.245,16.8,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30591,EPEC Este,33.4,24,23.83,141,0.237,16.6,2025-10-24 11:50:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30275,Saturnino Laspiur BioagroindustriaCba,32.8,24,23.83,137,0.239,10.0,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30539,Inriville - Pred. Muni Río Carcarañá BioagroindustriaCba,31.6,24,23.83,140,0.226,18.4,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30306,Estancia San Isidro (Canal Florentino),31.0,24,23.83,141,0.22,17.2,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30590,Epec Don Bosco,28.6,24,23.83,140,0.204,11.4,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30491,APRHi Pichanas -Sta. Ana,27.2,24,23.83,140,0.194,16.8,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30139,EPEC - Azotea Ed. Central,25.2,24,23.83,139,0.181,17.8,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30181,APRHI - Tuclame,25.2,24,23.83,140,0.18,8.0,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30304,Las Varillas (Este-Cruze RP3 Y RP13),23.6,24,23.83,138,0.171,10.8,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30129,El Fortin BioagroindustriaCba,23.6,24,23.83,139,0.17,5.8,2025-10-24 11:50:00-03:00,2025-10-25 11:40:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30352,APRHi - Los Zorros,23.0,24,23.83,140,0.164,12.6,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30414,Ministerio - Bioagroindustria,23.0,24,23.83,140,0.164,14.8,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30136,APRHi - Salsacate,23.0,24,23.83,140,0.164,7.0,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
30554,IPEM 107 TOLEDO - BioagroindustriaCba,21.4,24,23.83,140,0.153,9.4,2025-10-24 11:50:00-03:00,2025-10-25 11:30:00-03:00,2025-10-24 11:50:00,2025-10-25 11:40:00
