station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30100,La Carlota BioagroindustriaCba,113.2,48,47.83,284,0.399,18.2,2025-10-23 12:00:00-03:00,2025-10-25 11:50:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30539,Inriville - Pred. Muni Río Carcarañá BioagroindustriaCba,97.8,48,47.83,284,0.344,30.8,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30058,General Levalle BioagroindustriaCba,92.4,48,47.83,284,0.325,22.2,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30409,Paseo Sustentable Camilo Aldao BioagroindustriaCba,90.8,48,47.83,284,0.32,15.2,2025-10-23 12:10:00-03:00,2025-10-25 11:50:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
60001,APRHi - Cno Ascochinga-La Cumbre,90.5,48,47.83,262,0.345,1.25,2025-10-23 15:46:14-03:00,2025-10-25 09:51:10-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30415,Villa Rossi BioagroindustriaCba,76.8,48,47.83,284,0.27,20.0,2025-10-23 12:10:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30405,Reducción BioagroindustriaCba,75.8,48,47.83,284,0.267,16.4,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30108,Huanchilla BioagroindustriaCba,73.2,48,47.83,283,0.259,18.2,2025-10-23 12:00:00-03:00,2025-10-25 11:50:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30271,Corral de Bustos Ifflinger BioagroindustriaCba,73.0,48,47.83,285,0.256,9.6,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),71.8,48,47.83,284,0.253,1.0,2025-10-23 12:07:40-03:00,2025-10-25 06:09:48-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30413,Devoto BioagroindustriaCba,70.4,48,47.83,284,0.248,7.2,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30280,Viamonte BioagroindustriaCba,66.0,48,47.83,281,0.235,9.0,2025-10-23 12:00:00-03:00,2025-10-25 11:50:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30306,Estancia San Isidro (Canal Florentino),65.0,48,47.83,284,0.229,17.2,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30449,APRHi - Colonia 25 (Norte Los Surgentes),64.8,48,47.83,284,0.228,17.6,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30275,Saturnino Laspiur BioagroindustriaCba,64.0,48,47.83,281,0.228,10.0,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
30352,APRHi - Los Zorros,63.0,48,47.83,283,0.223,12.6,2025-10-23 12:00:00-03:00,2025-10-25 11:40:00-03:00,2025-10-23 12:00:00,2025-10-25 11:50:00
