name,apirest_id,original_id,latitude,longitude
Santa Catalina - Catalina 630,400000000000000000243,243,-33.2844444444444,-64.3536111111111
Durazno - La Florida,400000000000000000825,825,-32.2158333333333,-64.7658333333333
Las Tapias - Las Tapias,400000000000000000408,408,-32.8036111111111,-64.7763888888889
Cuarto - RN Nº 8,400000000000000000166,166,-33.1605555555556,-64.26
La Picasa - Obra Reg Nº5,400000000000000000745,745,-34.3044444444444,-62.8591666666667
Anizacate - Santa Ana,400000000000000000330,330,-31.6908333333333,-64.5375
Los Corrales,200000000000000001540,1540,-32.042022,-64.820017
Anisacate,200000000000000001603,1603,-31.72361,-64.40471
Lago San Roque,200000000000000002000,2000,-31.376952,-64.437287
APRHi - Río Dulce - Paso de Oscares,100000000000000030386,30386,-29.24259,-63.12724
Laguna Mar Chiquita - Miramar,400000000000000000010,10,-30.9119444444444,-62.6777777777778
Villa Caeiro,200000000000000002900,2900,-31.29138,-64.46026
San Clemente,200000000000000003000,3000,-31.69472,-64.63361
Villa Rafael Benegas,200000000000000003350,3350,-31.65805,-64.94858
IPEM 107 TOLEDO - Agricultura Cba,100000000000000030554,30554,-31.557378,-64.002995
APRHi - Canal Maestro - Inicio,100000000000000030192,30192,-30.760854,-64.762796
EML0_LH,700000000000000090001,90001,-31.4411,-64.1911
Paseo Sustentable Camilo Aldao AgriculturaCba,100000000000000030409,30409,-33.120326,-62.086812
Parque Nacional El Condorito,200000000000000003200,3200,-31.70805,-64.75804
El Cajón,200000000000000001801,1801,-31.44867,-64.6931
San Bernardo,200000000000000002200,2200,-31.56333,-64.54636
Atos Pampa,200000000000000001580,1580,-31.99899,-64.636963
Wenceslao Escalante AgriculturaCba,100000000000000030284,30284,-33.170634,-62.772534
San José de los Ríos,200000000000000002100,2100,-31.24833,-64.60416
APRHi - Cuenca Alta Tabaquillo,100000000000000030440,30440,-32.039413,-64.855988
San Clemente,200000000000000003003,3003,-31.69448,-64.6333
Santiago Temple,900000000000000000142,DEM_STEMPLE13,-31.3916950555556,-63.4212961111111
La Suela,200000000000000002804,2804,-31.64205,-64.59057
Cura Brochero,900000000000000000059,DEM_BROCHE13,-31.7103492777778,-65.02581475
Serrano,900000000000000000143,DEM_SERRAN13,-34.4741234444444,-63.5291316944444
Dalmacio Velez,900000000000000000060,UNDEFINED,-32.61153725,-63.5800277222222
Sol de Julio,900000000000000000144,UNDEFINED,-29.5636324444444,-63.4607462777778
Dean Funes,900000000000000000061,UNDEFINED,-31.3933226944444,-64.2066881944445
Rep. Cerro Minero San Roque,200000000000000003051,3051,-31.32972,-64.42498
Esc. Bernardino Rivadavia - Datos2,100000000000000025041,25041,-31.215702,-64.274258
Dean Funes,900000000000000000062,DEM_DEFUNE13,-30.4166768333333,-64.3532674722222
COSAG,200000000000000003800,3800,-31.69611,-64.53553
Santa Rosa de Calamuchita,900000000000000000145,DEM_SRCALAM13,-32.0754359166667,-64.54207425
Santa Rosa De Conlara,900000000000000000146,UNDEFINED,-32.3408923888889,-65.1727956388889
Santa Ana,200000000000000003301,3301,-31.64972,-64.54
APRHi - Bialet Massé - EDAR Cuenca Media,100000000000000030489,30489,-31.303083,-64.456907
APRHi - Río San Marcos,100000000000000030384,30384,-30.743011,-64.695439
INTA - Chañar Chico,100000000000000030258,30258,-32.349222,-62.453322
Puesto El Manzano,200000000000000003600,3600,-31.69686,-64.89303
La Posta,200000000000000003400,3400,-31.60638,-64.88388
Las Mulatas  AgriculturaCba,100000000000000030537,30537,-31.8957795,-64.5953138
Epec Don Bosco,100000000000000030590,30590,-31.375389,-64.257278
Villa Giardino,200000000000000002700,2700,-31.05166,-64.50166
Rio Tercero AgriculturaCba,100000000000000030270,30270,-32.170078,-64.087732
APRHi - Río Saladillo - Puente RP 6,100000000000000070002,70002,-32.931762,-62.332002
Despeñaderos,900000000000000000063,DEM_DESPEN13,-31.8118183055556,-64.3061657222222
Tancacha,900000000000000000147,DEM_TANCAC33,-32.2510696388889,-63.9814957222222
Devoto,900000000000000000064,DEM_DEVOTO13,-31.4130716388889,-62.3067964166667
Tio Pujio,900000000000000000148,DEM_TPUJIO13,-32.2811283333333,-63.3257401944444
El Tio,900000000000000000065,DEM_ELTIO13,-31.3844991111111,-62.8182923888889
Totoral Nueva,900000000000000000149,DEM_VTOTNVA13,-30.7186539722222,-64.0636928333333
Elena,900000000000000000066,DEM_ELENA132,-32.5530157777778,-64.4133585
APRHi - Río Dulce - Paso de la Cina,100000000000000070006,70006,-29.794951,-62.805829
Viamonte,900000000000000000150,DEM_VIAMON13,-33.8546864722222,-62.9508162222222
Etruria,900000000000000000067,DEM_ETRURI13,-32.9429275833333,-63.2492034444444
Fábrica Militar 1,900000000000000000068,UNDEFINED,-32.1595433611111,-64.1418283333333
Ea. Las Minas,200000000000000004300,4300,-30.89305,-64.42444
