station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
30414,Ministerio - Bioagroindustria,4.2,24,23.87,143,0.029,1.4,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30007,Monte Cristo,1.6,24,23.87,30,0.053,1.6,2025-09-03 13:20:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30158,Toro Pujio BioagroindustriaCba,1.2,24,23.87,143,0.008,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30164,Monte Buey BioagroindustriaCba,0.6,24,23.87,143,0.004,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30285,Colonia Vignaud BioagroindustriaCba,0.6,24,23.87,142,0.004,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30261,La Paquita BioagroindustriaCba,0.6,24,23.87,143,0.004,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30403,Balnearia BioagroindustriaCba,0.47,24,23.87,143,0.003,0.24,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30130,El Tio BioagroindustriaCba,0.4,24,23.87,142,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30056,Las Varas BioagroindustriaCba,0.4,24,23.87,143,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30266,Tinoco BioagroindustriaCba,0.4,24,23.87,142,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30305,El Fortín,0.4,24,23.87,142,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30304,Las Varillas (Este-Cruze RP3 Y RP13),0.4,24,23.87,142,0.003,0.2,2025-09-02 18:50:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30307,Listello (Este Las Varillas),0.4,24,23.87,142,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30409,Paseo Sustentable Camilo Aldao BioagroindustriaCba,0.4,24,23.87,144,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30278,Chilibroste BioagroindustriaCba,0.4,24,23.87,140,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30051,Munic. de La Para,0.4,24,23.87,143,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30162,La Tordilla BioagroindustriaCba,0.4,24,23.87,142,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30539,Inriville - Pred. Muni Río Carcarañá BioagroindustriaCba,0.4,24,23.87,144,0.003,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30112,Brinkmann BioagroindustriaCba,0.28,24,23.87,143,0.002,0.28,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30160,Marcos Juarez BioagroindustriaCba,0.25,24,23.87,141,0.002,0.25,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30254,APRHi - Las Varillas (Oeste-Ruta cruce RP13 y PR3),0.2,24,23.87,142,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30111,UNVM BioagroindustriaCba,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30268,Rayo Cortado BioagroindustriaCba,0.2,24,23.87,141,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30298,Villa de Maria Rio seco BioagroindustriaCba,0.2,24,23.87,141,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30286,Villa Ciudad Parque BioagroindustriaCba,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30249,APRHi - San Francisco del Chañar,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30161,Chazon BioagroindustriaCba,0.2,24,23.87,142,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30014,Marull,0.2,24,23.87,55,0.004,0.2,2025-09-03 09:20:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30076,Acipro Santa Rosa 1,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30070,Canals BioagroindustriaCba,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30079,IPEA 225 - Atahualpa Yupanqui - El Arañado,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:20:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30264,Los Surgentes BioagroindustriaCba,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
30156,Las Junturas BioagroindustriaCba,0.2,24,23.87,143,0.001,0.2,2025-09-02 18:40:00-03:00,2025-09-03 18:30:00-03:00,2025-09-02 18:38:00,2025-09-03 18:30:00
